ID	Name	N_vv	<k>	rho	z	z_err	beta_hat	b_err	beta_theory	beta_err	reduced-chi	Pearson r	Improved_pearson
44	fao_trade	132	97.66666667	0.745547074	5.440129945	0.185362203	3.931141589	0.053991498	3.988044513	0.06024978	1.544E+28	0.987746513	-0.974690934
75	fediverse	762	299.1653543	0.393121359	308.7385231	33.53604065	2.519691644	0.017769692	2.160285435	0.021939088	7.43153E+27	0.990059608	-0.886352849
79	reactome	5973	48.81232212	0.00817353	14.55889037	0.724314381	5.27296903	0.02259668	4.293765537	0.060587573	3.32685E+27	0.580083003	-0.571621671
2	rhesus_monkey	11	8	0.8	4.030804171	0.187404629	2.678901151	0.049548755	2.845590369	0.068943489	2.15138E+27	0.992530938	-0.99503134
29	lesmis	77	6.597402597	0.086807929	23.17223785	7.908276906	3.101513981	0.060804653	2.413142534	0.151753341	1.92645E+27	0.799696181	-0.728487155
8	cattle	17	10.35294118	0.647058824	5.28904753	0.275608127	2.738942761	0.043605197	2.808307927	0.059320387	1.54713E+27	0.994142856	-0.992739292
4	high_tech_company	20	14.4	0.757894737	4.134064411	0.137105171	3.107975761	0.043725121	3.234720623	0.055744697	1.02267E+27	0.993156659	-0.995121526
22	macaques	23	14.52173913	0.660079051	6.09690374	0.342656155	2.803731113	0.04572233	2.831542925	0.058377943	5.94762E+26	0.99305257	-0.990003553
6	bison	26	17.07692308	0.683076923	6.47362125	0.450672161	2.807586022	0.056011215	2.837265442	0.069732731	3.38944E+26	0.990115752	-0.983734056
1	new_guinea_tribes	16	7.25	0.483333333	6.642726989	0.593385733	2.568354758	0.048975015	2.555303516	0.075739659	2.87085E+26	0.981492913	-0.984775894
28	sp_hospital	75	30.37333333	0.41045045	15.85295674	1.313218572	2.78067961	0.03599624	2.606155172	0.047633589	1.12169E+26	0.994026518	-0.968730404
38	email_company	118	50.81355932	0.434303926	16.35952489	1.81724996	2.928956537	0.054688347	2.749517515	0.068761577	3.99917E+25	0.976400911	-0.919309933
26	law_firm	70	28.45714286	0.41242236	14.89831642	1.123237042	2.809562514	0.034194668	2.619019186	0.044720752	1.64565E+25	0.99353985	-0.974521754
90	google	10607	24.60205525	0.002319636	1.39798E+18	6.04317E+18	2.176349625	0.00679496	1.221850714	0.022952981	23543.98392	0.148502063	-0.093446255
89	foldoc	13108	13.66173329	0.001042323	8.069551039	0.155293618	5.045749096	0.011038719	5.618577686	0.042143204	4968.788222	0.479099187	-0.68790539
92	marvel_universe	19182	9.951517047	0.000518822	22.20282907	0.650991406	4.9570821	0.005779132	4.213275412	0.030152688	261.4654929	0.289890473	-0.606838247
65	collins_yeast	1004	16.57171315	0.016522147	8.044392	0.893106518	6.602475982	0.063891746	4.393316395	0.178878572	158.4859543	0.653263566	-0.510237513
73	openflights	1165	22.70386266	0.019505037	25.25570392	1.787095744	3.751607073	0.018241208	3.21526366	0.048100132	107.6476941	0.797040426	-0.801031543
46	un_migrations	229	72.8209607	0.319390179	35.26952822	3.760702189	2.814137877	0.034473035	2.54614082	0.04584212	80.758737	0.98678176	-0.911619964
70	dnc	849	24.46171967	0.028846368	1243.570903	508.3627577	3.013342514	0.020208812	1.947127911	0.054296904	54.30934389	0.723611733	-0.513828612
77	bitcoin_trust	1983	14.35905194	0.007244729	44.29282721	3.016574186	3.501381575	0.010769849	3.019902598	0.036045602	50.18179696	0.689472777	-0.78100955
69	plant_pol_robertson	1882	16.21041445	0.008617977	68.05065733	4.750187384	3.71804703	0.008837102	2.798050661	0.029582741	45.38370947	0.691566798	-0.812625451
57	plant_pol_kato	768	3.138020833	0.004091292	29.32732089	5.373657633	4.039935284	0.015409182	2.991512568	0.107043281	33.47880814	0.452774732	-0.554439975
81	advogato	2638	22.88779378	0.008679482	55.74277683	2.91940141	3.421873693	0.008935296	2.973046371	0.025552471	26.83658423	0.669879644	-0.831245843
49	contact	274	15.50364964	0.056789925	88.49513937	5.954703759	2.755548535	0.007142745	2.261000735	0.018819886	24.50580954	0.969978841	-0.970699679
31	polbooks	105	8.4	0.080769231	12.14126542	3.996400571	3.862791715	0.107563093	2.919439913	0.250521651	18.84651548	0.582413144	-0.59864326
13	montreal	29	5.172413793	0.184729064	8.256530871	0.926412608	2.768804184	0.039223735	2.671765343	0.089340123	13.65899002	0.936861877	-0.963912859
41	jazz_collab	198	27.6969697	0.140593755	15.28304764	1.723001572	3.348802005	0.048029749	2.984602687	0.081134341	12.15778401	0.858710697	-0.865466172
23	terrorists_911	62	4.903225806	0.080380751	8.586237306	2.03289787	3.547319742	0.077595803	2.993682989	0.21869733	12.03212254	0.837314012	-0.760835194
36	foodweb_baywet	92	27.34782609	0.300525561	24.02059911	2.563333633	2.723282608	0.034270683	2.452495847	0.04822406	10.65374909	0.98467802	-0.952847307
85	wiki_rfa	2378	78.86206897	0.033177143	98.183078	4.711313963	3.154956012	0.009326022	2.702912264	0.017741837	8.565491606	0.741726566	-0.890858558
55	celegans_metabolic	453	8.940397351	0.01977964	20.40878598	4.190823706	3.249919722	0.043254653	3.062704053	0.138964204	6.660709197	0.555098975	-0.568817237
82	elec	1266	56.73775671	0.044851982	78.57262431	4.446772522	3.071961176	0.011235463	2.646889929	0.021249411	5.603474743	0.789425927	-0.908123654
48	sp_primary_school	242	68.73553719	0.285209698	24.29965763	0.743574609	3.032138485	0.012530918	2.750168282	0.016610726	4.724437595	0.992495011	-0.98914066
42	cintestinalis	200	25.1	0.126130653	15.07598719	1.089539824	3.264734594	0.03032251	2.998608576	0.052640605	4.500600831	0.935687985	-0.936384348
78	jung	66	7.03030303	0.108158508	7.095492551	1.475775687	3.28773131	0.098133091	3.224697429	0.236181394	4.270850821	0.835361811	-0.762253781
80	jdk	66	7.03030303	0.108158508	7.095492551	1.475775687	3.28773131	0.098133091	3.224697429	0.236181394	4.270850821	0.835361811	-0.762253781
45	residence_hall	207	17.12077295	0.083110548	11.9492233	1.07975447	3.464748101	0.040842303	3.205811404	0.079481511	4.148129291	0.892116482	-0.886654494
15	windsurfers	43	15.62790698	0.372093023	10.45064696	1.246114103	2.802655869	0.058295648	2.665737762	0.084232074	4.066539319	0.975257677	-0.950935167
61	crime	1263	2.180522565	0.001727831	3.103210678	0.402648289	13.40993132	0.083949854	7.438065664	0.745809954	4.06400294	0.270213392	-0.238674387
62	polblogs	742	34.86253369	0.047047954	141.5453866	14.51252504	2.991812321	0.013441033	2.340199191	0.027642173	3.865302395	0.792131638	-0.871331495
12	dutch_criticism	35	4.571428571	0.134453782	3.857867213	0.475530423	3.655366918	0.099697634	3.761046933	0.264581176	3.555143306	0.908126513	-0.885592428
27	blumenau_drug	75	4.826666667	0.065225225	10.61842111	1.701101673	3.32489845	0.042888095	2.889540336	0.12710043	3.552533414	0.825498177	-0.865274019
0	sa_companies	11	2.363636364	0.236363636	2.265585407	0.231665842	3.555864618	0.135646745	4.010156992	0.494887337	3.445068194	0.878600711	-0.936300777
54	eu_airlines	417	14.16306954	0.03404584	39.42331792	5.704862748	3.246020958	0.023840268	2.660976551	0.064870828	3.114061644	0.8405444	-0.779994421
16	elite	44	4.5	0.104651163	5.028635749	0.800586896	3.593999958	0.088779162	3.453882844	0.246902683	2.972021737	0.902323432	-0.842727141
17	macaque_neural	47	13.31914894	0.289546716	9.747863841	1.178216588	2.925533247	0.058532942	2.757629308	0.092903143	2.951559538	0.974073002	-0.942058117
105	facebook_wall	30793	9.192868509	0.000298547	6.518443691	0.05452406	6.187482594	0.004699412	6.6054661	0.024781	2.903690061	0.690421017	-0.787370928
24	train_terrorists	64	7.59375	0.120535714	10.52180263	2.574558585	3.395743157	0.083954136	2.829732027	0.188861645	2.893470694	0.886992537	-0.773775921
58	unicodelang	858	2.911421911	0.003397225	13.55294645	2.234643263	4.411469721	0.023597033	3.641599716	0.165267071	2.61248443	0.397114087	-0.475377587
102	inploid	4542	13.38309115	0.002947168	395.2106114	67.98241838	2.843036485	0.010061623	2.410464388	0.040518764	2.416243875	0.232943521	-0.458480107
47	physician_trust	88	7.863636364	0.090386625	9.981248045	1.267196772	3.312445797	0.048620494	3.011526552	0.11012206	2.337238193	0.883187022	-0.890208743
20	cs_department	61	11.57377049	0.192896175	9.216471653	1.056272143	3.101464738	0.055170074	2.920912664	0.098626368	2.125891607	0.949486932	-0.929638886
93	internet_as	22963	4.218612551	0.000183721	24.3117331	1.071431571	4.06078718	0.004476045	4.176637207	0.043548748	2.046992858	0.176570912	-0.431142228
86	dblp_cite	54	5.814814815	0.109713487	10.62691773	6.624628172	3.353845146	0.18795129	2.749882477	0.458556745	2.031649158	0.682032312	-0.465354466
34	football	115	10.66086957	0.0935164	25.90561359	27.66976176	3.234182734	0.238446294	2.486033893	0.482470591	1.973120389	0.291283429	-0.27553867
35	football_tsevans	115	10.66086957	0.0935164	25.90561359	27.66976176	3.234182734	0.238446294	2.486033893	0.482470591	1.973120389	0.291283429	-0.27553867
101	email_enron	33696	10.73189696	0.000318501	131.8125833	7.150717136	4.296882935	0.004076124	3.141778035	0.023740684	1.787795739	0.403219558	-0.440160378
63	new_zealand_collab	1463	5.804511278	0.003970254	168.8770911	26.12665216	2.920237221	0.007705049	2.425738821	0.042874156	1.71447982	0.510980312	-0.655237918
5	november17	22	6	0.285714286	9.695013061	2.056595157	2.657700351	0.071441329	2.427812288	0.133961152	1.70851582	0.935001415	-0.922764288
52	facebook_friends	329	11.87841945	0.036214693	17.45613485	4.243895442	4.292178232	0.067324861	3.066951018	0.173784874	1.694198194	0.588959913	-0.545266519
100	topology	34761	6.197750352	0.000178301	39.02328481	1.305217993	3.989149753	0.003031878	3.87287182	0.026076714	1.691716138	0.245778392	-0.506612796
84	sp_infectious	410	13.48780488	0.032977518	7.83016508	0.852710264	4.776704278	0.063870083	4.003342914	0.157486385	1.661454087	0.675920145	-0.683194836
43	interactome_pdz	161	2.596273292	0.016226708	5.108407829	1.140536779	5.695026751	0.08064306	4.225553399	0.442876745	1.644488289	0.508961876	-0.501263276
53	london_transport	369	2.330623306	0.006333216	1.25135291	0.026833494	17.18439582	0.364830997	24.18091568	2.928309234	1.539878501	0.482550825	-0.479103344
33	adjnoun	112	7.589285714	0.068371943	11.73619036	1.481755087	3.224291721	0.039461887	2.972984005	0.100142415	1.508900607	0.840978253	-0.880751798
25	highschool	60	7.566666667	0.128248588	4.607581277	0.490425588	3.844440491	0.090293395	3.797107212	0.198775769	1.488274633	0.865402104	-0.883349959
64	netscience	379	4.823218997	0.012759839	13.7434698	7.514804377	6.551911203	0.119220032	3.315391501	0.477717392	1.466406743	0.34683855	-0.23964046
56	wiki_science	677	19.25258493	0.028480155	9.920695112	0.528872935	4.499590529	0.027237691	3.906205885	0.066793144	1.454395227	0.815027665	-0.856129903
30	sp_office	92	16.41304348	0.180363115	17.52861534	1.971245916	2.900134511	0.037415992	2.618917548	0.062867907	1.451714958	0.942627949	-0.937086565
51	marvel_partnerships	181	2.475138122	0.013750767	2.564683932	0.426100195	8.651027864	0.175837927	6.633977775	1.044941522	1.407577154	0.4323967	-0.390135741
